deck_name,deck_url,deck_summary,tags
Skincare and Personal Care,https://docs.google.com/presentation/d/1DWZkFpINokMHXs7LqhGsnSvMXLcN7yL9P_mVEvg9Dtg/edit?usp=sharing,"Digital-first brand building and influencer-led campaigns for premium skincare and personal care brands.","skincare, personal care, influencer, digital"
FMCG and Food Retail,https://docs.google.com/presentation/d/1M-iNaRTj_M0u4-9LhQRq4ft4dssXuIBpiIVrzLr8vLE/edit?slide=id.g354c929ffc7_0_155#slide=id.g354c929ffc7_0_155,"ROI-driven digital creatives and social commerce for leading FMCG and food retail brands.","fmcg, food retail, digital, social commerce"
Lifestyle And Retail,https://docs.google.com/presentation/d/1Xvmd9L6bMZjtLtaqr-2RodSL1Cvxtay8/edit?slide=id.p7#slide=id.p7,"Integrated digital marketing and omnichannel engagement strategies for lifestyle and retail brands.","lifestyle, retail, fashion, social media"
Banking and Finance,https://docs.google.com/presentation/d/16S1_ZZxyymbj-ktKxf8NnrJpI2zlPDNVnEmv1U8CPRQ/edit?slide=id.p#slide=id.p,"Trust-building digital content and performance campaigns for BFSI clients.","banking, finance, BFSI, trust-building"
Education and Edtech,https://docs.google.com/presentation/d/1zase8l7x1Ca9N7SNfXBwKJBWxYYHc4FacK-RGIhFPtc/edit?slide=id.g35ae403650a_5_93#slide=id.g35ae403650a_5_93,"Agile digital strategies accelerating product adoption and student engagement for Edtech brands.","education, edtech, product, agile"
Real Estate and Hospitality,https://docs.google.com/presentation/d/1GF_U6bMZjtLtaqr-2RodSL1Cvxtay8/edit?slide=id.g35c92c8d619_2_0#slide=id.g35c92c8d619_2_0,"Multi-channel digital strategy driving sales and engagement for real estate and hospitality brands.","real estate, hospitality, digital, performance"
Healthcare Profile,https://docs.google.com/presentation/d/1_VxFKgiwDdO0Il1Vfy4yL3kHLjAQ15nt/edit?slide=id.g343a811d329_0_0#slide=id.g343a811d329_0_0,"App installs, patient acquisition, and revenue growth for healthcare brands via digital marketing.","healthcare, app marketing, digital, performance"
Performance Marketing,https://docs.google.com/presentation/d/1jUPwJog1HCjAvgH1W3uAJQYQpV3oUqC9/edit?slide=id.p4#slide=id.p4,"Measurable ROI for brands through data-driven campaigns and conversion optimization.","performance, ROI, digital, analytics"
PR Profile,https://docs.google.com/presentation/d/1WxuqTdYY_43TLXHBWUJaafj525X1l4SH2mnqHKJCXb4/edit?slide=id.g349fa788527_2_854#slide=id.g349fa788527_2_854,"PR and performance marketing to enhance brand presence and reputation.","pr, healthcare, performance, reputation"
Branding Profile,https://docs.google.com/presentation/d/1iF3fKePan1DsDOvNOm2xDX28-e_L-kiVI7hcI7NevPo/edit?slide=id.g35d935cbaed_0_247#slide=id.g35d935cbaed_0_247,"Brand launches and rebranding for FMCG and lifestyle clients, focused on storytelling and design.","branding, fmcg, lifestyle, storytelling"
Integrated Services,https://docs.google.com/presentation/d/1Lh3S4AAF7W7FSUtXhSJYh3Cy3YIEuWc-_dh5mTMvgG4/edit?slide=id.g34262ded9b7_0_616#slide=id.g34262ded9b7_0_616,"Multi-disciplinary digital marketing solutions for enterprise and startup clients.","integrated, digital, services, enterprise"
Website Credentials,https://docs.google.com/presentation/d/1DYAzMVhxOxNC9lmrcRfXWnzBO2J9MrX-/edit?slide=id.g329f7b02fb6_4_125#slide=id.g329f7b02fb6_4_125,"Website and production capabilities for diverse industry clients.","website, production, creds, digital"
Production Work,https://docs.google.com/presentation/d/1lx7xeNZ8dAxmNR0BTJkLb6PPa78tazuS10WYNjUcxpU/edit?slide=id.g33e4f54b774_0_147#slide=id.g33e4f54b774_0_147,"Production work across video, digital, and web for multiple verticals.","production, video, web, digital"
